generation,bestCost,elapsedTime,feasability
1,0.6000000000000001,0.001547215999380569,3006
2,0.6000000000000001,0.0031478769997193012,2657
3,0.6000000000000001,0.0046663850007462315,2698
4,0.0,0.006224790999112884,2588
5,0.4,0.007733250000455882,2693
6,0.2,0.0092328329992597,2795
7,1.0,0.010744040000645327,2875
8,0.8,0.01226817899987509,2740
9,0.4,0.01375048699992476,2703
10,1.4000000000000001,0.015270346999386675,2786
11,1.2000000000000002,0.016795522000393248,2839
12,1.0,0.01830566100034048,2650
13,1.2000000000000002,0.01981840999906126,2959
14,0.4,0.021331719999579946,2600
15,0.6000000000000001,0.022853524000311154,2779
16,0.8,0.024335091999091674,2778
17,0.8,0.02587165700060723,2786
18,0.8,0.02738934999979392,2864
19,0.6000000000000001,0.028870537000329932,2718
20,1.0,0.030374768999536172,2763
21,0.6000000000000001,0.0318909090001398,2530
22,0.4,0.03338879100010672,2736
23,1.2000000000000002,0.034955099999933736,2721
24,1.0,0.03645796999990125,2814
25,1.2000000000000002,0.0379868220006756,3090
26,0.8,0.03945853100049135,2711
27,0.4,0.040957174000141094,2921
28,0.6000000000000001,0.042467703999136575,2556
29,1.0,0.04396894700039411,2541
30,1.2000000000000002,0.04548944099951768,2880
31,0.8,0.04703906500071753,2705
32,1.2000000000000002,0.04854284300017753,2619
33,1.0,0.05007285700048669,2643
34,0.8,0.05160224700011895,2732
35,0.6000000000000001,0.05311210000036226,2755
36,1.6,0.05460889399910229,2767
37,1.2000000000000002,0.0561051269996824,2740
38,0.6000000000000001,0.057608250999692245,2934
39,1.0,0.05910560499978601,2801
40,0.4,0.06057906800015189,3047
41,0.4,0.062095810999380774,2765
42,0.2,0.06358538799941016,2735
43,0.8,0.065125060000355,2683
44,0.8,0.06660693400044693,2641
45,0.8,0.06812145699950634,2602
46,0.4,0.06961133999902813,2683
47,0.2,0.07109794799907831,2728
48,1.0,0.07264406399917789,3054
49,1.2000000000000002,0.07415530199978093,2820
50,0.8,0.07565767400046752,2791
51,1.2000000000000002,0.07715844099948299,2770
52,0.8,0.07867119000002276,2620
53,0.4,0.08016910399965127,2769
54,0.8,0.08170578600038425,2685
55,0.4,0.08321190999959072,2676
56,1.0,0.08473807799964561,2771
57,1.2000000000000002,0.08626568299951032,2915
58,0.6000000000000001,0.08778324999912002,2723
59,1.2000000000000002,0.08928835900042031,3032
60,0.6000000000000001,0.09078077699996356,2814
61,0.4,0.09225714599961066,2497
62,1.2000000000000002,0.09374625800046488,2607
63,1.0,0.09528293900075369,2914
