generation,bestCost,elapsedTime,feasability
0,4.4,0,1379
1,0.8,0.0016344730011041975,684
2,0.6000000000000001,0.0025991150014306186,341
3,0.4,0.003412785999898915,358
4,0.0,0.004299205000279471,353
5,0.0,0.005147438001586124,103
6,0.0,0.00603290700018988,193
7,0.0,0.006946112000150606,153
8,0.0,0.007834751000700635,238
9,0.0,0.008712115000889753,172
10,0.0,0.009540863000438549,170
11,0.0,0.01038066399996751,130
12,0.0,0.011242824000873952,147
13,0.0,0.012093783001546399,209
14,0.0,0.012989004000701243,180
15,0.0,0.013819982001223252,132
16,0.0,0.014739316000486724,166
17,0.0,0.015599129001202527,165
18,0.0,0.016429199000413064,199
19,0.0,0.017851436999990256,152
20,0.0,0.018696563000048627,125
21,0.0,0.019571761000406696,239
22,0.0,0.02039709700147796,269
23,0.0,0.021258094000586425,276
24,0.0,0.022097789000326884,157
25,0.0,0.022995811001237598,104
26,0.0,0.023855582001488074,324
27,0.0,0.02468211100131157,194
28,0.0,0.025552893001076882,224
29,0.0,0.026426379001350142,209
30,0.0,0.027306533000228228,166
31,0.0,0.028191410001454642,152
32,0.0,0.0290467009999702,210
33,0.0,0.029902140000558575,107
34,0.0,0.03072393600086798,176
35,0.0,0.031587786001182394,161
36,0.0,0.03242351900007634,178
37,0.0,0.033288362001258065,217
38,0.0,0.03413325600013195,194
39,0.0,0.034954999000547105,269
40,0.0,0.03583110600084183,180
41,0.0,0.03672839800128713,129
42,0.0,0.037582538001515786,225
43,0.0,0.038461043001007056,259
44,0.0,0.03931098800057953,219
45,0.0,0.04018060700036585,157
46,0.0,0.04100949300118373,219
47,0.0,0.041855823999867425,204
48,0.0,0.04270267300125852,177
49,0.0,0.04352424700118718,134
50,0.0,0.04442245800055389,137
51,0.0,0.04525296100109699,135
52,0.0,0.046115680001094006,166
53,0.0,0.04695878800157516,171
54,0.0,0.04778045700004441,152
55,0.0,0.04866981300074258,118
56,0.0,0.04950719400039816,141
57,0.0,0.05036235800071154,144
58,0.0,0.051201154999944265,134
59,0.0,0.05201931600095122,137
60,0.0,0.052898781999829225,154
61,0.0,0.05378922700037947,125
62,0.0,0.054644317000565934,154
63,0.0,0.055571089000295615,167
64,0.0,0.056406843001241214,187
65,0.0,0.05728085700138763,239
66,0.0,0.058129544000621536,200
67,0.0,0.05901718899986008,285
68,0.0,0.05985307000082685,252
69,0.0,0.060677253000903875,183
70,0.0,0.061542751000160933,122
71,0.0,0.062367547001485946,162
72,0.0,0.06323845500082825,212
73,0.0,0.06406089500160306,151
74,0.0,0.06488930500017887,150
75,0.0,0.06576550700083317,141
76,0.0,0.06660310000006575,192
77,0.0,0.06750177600042662,121
78,0.0,0.06835692999993626,244
79,0.0,0.0692627700009325,222
80,0.0,0.07012253100037924,257
81,0.0,0.07094370400045591,221
82,0.0,0.07185181600107171,176
83,0.0,0.07272042100157705,178
84,0.0,0.0735735560010653,225
85,0.0,0.07442517000163207,258
86,0.0,0.0752516470001865,233
87,0.0,0.07613386100092612,175
88,0.0,0.07701144700149598,184
89,0.0,0.07785440699990431,174
90,0.0,0.07870151899987832,217
91,0.0,0.07951943700027186,137
92,0.0,0.08040108000022883,201
93,0.0,0.08125427900085924,138
94,0.0,0.08212304200060316,145
95,0.0,0.08297036600015417,209
96,0.0,0.08380440800101496,206
97,0.0,0.08469231700109958,221
98,0.0,0.0855853709999792,254
99,0.0,0.08648473500034015,254
100,0.0,0.08731506799995259,259
101,0.0,0.08817221900062577,220
102,0.0,0.08905088300161879,228
103,0.0,0.08987221400093404,210
104,0.0,0.09078247100114822,190
105,0.0,0.09161695700095152,200
106,0.0,0.09246661700126424,297
107,0.0,0.09332488700056274,180
108,0.0,0.09415165000064007,177
109,0.0,0.09504517000095802,163
110,0.0,0.09588069100027496,129
111,0.0,0.09675033100029395,218
112,0.0,0.09759304799990787,208
113,0.0,0.09841988400148693,232
114,0.0,0.09930394700131728,175
115,0.0,0.10017466400131525,162
116,0.0,0.10103590400103712,153
117,0.0,0.10191804399983084,139
118,0.0,0.10274320999997144,181
119,0.0,0.10362300400083768,184
120,0.0,0.10447599200051627,209
121,0.0,0.10533473800023785,180
122,0.0,0.10619075800059363,161
123,0.0,0.10701860800145369,191
124,0.0,0.10788951600079599,155
125,0.0,0.10872799600110739,210
126,0.0,0.10962041800121369,168
127,0.0,0.11047344800135761,180
128,0.0,0.11131147300147859,156
129,0.0,0.11218827800075815,207
130,0.0,0.11301635000017995,219
131,0.0,0.1138675840011274,206
132,0.0,0.11471451700163016,225
133,0.0,0.11553801400077646,252
134,0.0,0.11644538600012311,226
135,0.0,0.11730627700126206,307
136,0.0,0.11817978500039317,292
137,0.0,0.11905369300075108,261
138,0.0,0.11987895499987644,240
139,0.0,0.12073879900162865,159
140,0.0,0.12156857300033153,186
141,0.0,0.12243449300149223,205
142,0.0,0.1233111170004122,250
143,0.0,0.12413515300067957,199
144,0.0,0.125007603000995,173
145,0.0,0.12583194500075479,159
146,0.0,0.12674999000046228,132
147,0.0,0.12760062100096548,161
148,0.0,0.12846985000032873,125
149,0.0,0.12932187600017642,150
150,0.0,0.1301502120004443,186
151,0.0,0.13103311300073983,307
152,0.0,0.131860425000923,155
153,0.0,0.13272279600096226,174
154,0.0,0.1336230680008157,259
155,0.0,0.1344525140011683,144
156,0.0,0.1353218050007854,208
157,0.0,0.1361565340012021,191
158,0.0,0.1369988070000545,161
159,0.0,0.13787099399996805,144
160,0.0,0.13870874400163302,149
161,0.0,0.1395781410010386,170
162,0.0,0.14040570600081992,174
163,0.0,0.14125280799999018,182
164,0.0,0.14210371400076838,284
165,0.0,0.14297208600146405,164
166,0.0,0.14385606399991957,211
167,0.0,0.14467333700122254,193
168,0.0,0.1455145320014708,189
169,0.0,0.1463736380010232,205
170,0.0,0.14720657100042445,359
171,0.0,0.1481035670003621,185
172,0.0,0.14897377800116374,207
173,0.0,0.14984876500056998,192
174,0.0,0.15069662800124206,224
175,0.0,0.15152355900136172,216
176,0.0,0.15239314700011164,195
177,0.0,0.1532573450003838,288
178,0.0,0.15412571700107947,193
179,0.0,0.15497463700012304,163
180,0.0,0.15579741600049601,161
181,0.0,0.15668017900134146,159
182,0.0,0.15750603200103797,154
183,0.0,0.1583688880000409,119
184,0.0,0.1592049910013884,306
185,0.0,0.16002955500152893,191
186,0.0,0.16091162100019574,249
187,0.0,0.1617350640008226,166
188,0.0,0.16259948500010069,236
189,0.0,0.1634424760013644,136
190,0.0,0.16433183300068777,241
191,0.0,0.16520126100112975,235
192,0.0,0.16604777200154786,198
193,0.0,0.1669301230012934,162
194,0.0,0.16775298600077804,107
195,0.0,0.16863602500052366,152
196,0.0,0.16949224600102752,168
197,0.0,0.1703249140009575,165
198,0.0,0.17121417599992128,200
199,0.0,0.17204176300037943,168
200,0.0,0.17288874900077644,237
201,0.0,0.17377577100160124,170
202,0.0,0.17461677600113035,177
203,0.0,0.1754909070004942,148
204,0.0,0.17632601600053022,98
205,0.0,0.17717469300077937,192
206,0.0,0.17802552400098648,194
207,0.0,0.1789073260006262,259
208,0.0,0.17978600000060396,169
209,0.0,0.18067474400049832,200
210,0.0,0.18152498400013428,169
211,0.0,0.18237494900131423,150
212,0.0,0.1832330400011415,219
213,0.0,0.18412642300063453,158
214,0.0,0.1849585100007971,169
215,0.0,0.18582453599992732,155
216,0.0,0.1866734980012552,148
