generation,bestCost,elapsedTime,feasability
1,0.6000000000000001,0.010391272000561003,3863
2,0.6000000000000001,0.018408457999612438,3839
3,0.0,0.026338092000514735,3742
4,0.0,0.034235425999213476,3432
5,0.0,0.0421480259992677,3343
6,0.0,0.05006370000046445,3310
7,0.0,0.05791309499909403,3311
8,0.0,0.06591019500046968,3035
9,0.0,0.07369940199896519,3167
10,0.0,0.08165300300061062,3322
11,0.0,0.08949488200050837,3103
12,0.0,0.09739995000018098,3178
13,0.0,0.10527499899944814,3117
14,0.0,0.11325753799974336,3091
15,0.0,0.12113568399945507,3005
16,0.0,0.12902490099986608,3152
17,0.0,0.1369052649988589,3021
18,0.0,0.14480664499933482,2843
19,0.0,0.15276636099952157,2927
20,0.0,0.16072026799884043,3067
21,0.0,0.16859736500009603,2698
22,0.0,0.17650393300027645,3067
23,0.0,0.1843904149991431,2944
24,0.0,0.19226952999997593,2897
25,0.0,0.20010565499978838,2731
26,0.0,0.20815707499968994,2867
27,0.0,0.21598938299939618,2704
28,0.0,0.2239626579994365,3006
29,0.0,0.23184088900052302,2768
30,0.0,0.2397775730005378,2836
31,0.0,0.2476523780005664,2701
32,0.0,0.2555285359994741,2752
33,0.0,0.2633948370003054,2651
34,0.0,0.2712921889997233,2669
35,0.0,0.2790709799992328,2565
36,0.0,0.28701130700028443,2693
37,0.0,0.29488288999891665,2565
38,0.0,0.3027767479998147,2515
39,0.0,0.3105539080006565,2485
40,0.0,0.31851463000020885,2553
41,0.0,0.32703122299972165,2570
42,0.0,0.33482043000003614,2732
43,0.0,0.3425595759999851,2576
44,0.0,0.35028783599955204,2736
45,0.0,0.3580303839989938,2523
46,0.0,0.3658386539991625,2621
47,0.0,0.3735434360005456,2481
48,0.0,0.3813615649996791,2701
49,0.0,0.3891384509988711,2692
50,0.0,0.39697202800016385,2444
51,0.0,0.4047975840003346,2581
52,0.0,0.41268653699989954,2389
53,0.0,0.42053990500062355,2575
54,0.0,0.42853462699895317,2455
55,0.0,0.4363516430003074,2485
56,0.0,0.44430038099926605,2482
57,0.0,0.4544947599988518,2442
58,0.0,0.463140186999226,2552
59,0.0,0.47156135799923504,2464
60,0.0,0.4800365859991871,2567
61,0.0,0.48852412099950016,2470
62,0.0,0.4970043880002777,2448
63,0.0,0.5047626060004404,2314
64,0.0,0.5125292949996947,2240
65,0.0,0.5203439699998853,2315
66,0.0,0.5281769840003108,2354
67,0.0,0.5360615429999598,2236
68,0.0,0.543818979000207,2298
69,0.0,0.551714629998969,2134
70,0.0,0.5596537860001263,2178
71,0.0,0.5676939539989689,2197
72,0.0,0.5759362349999719,2094
73,0.0,0.584217252999224,2172
74,0.0,0.592070448999948,2106
75,0.0,0.5999403539990453,1987
76,0.0,0.6077268030003324,2262
77,0.0,0.6156190959991363,2150
78,0.0,0.6234705099996063,2275
79,0.0,0.6312473879988829,1985
80,0.0,0.6390482389997487,1864
81,0.0,0.6468428680000216,2135
82,0.0,0.6545675580000534,2071
83,0.0,0.6624139499999728,2083
84,0.0,0.6701479080002173,2177
85,0.0,0.6780343880000146,1916
86,0.0,0.6858412210003735,1991
87,0.0,0.693665458000396,2052
88,0.0,0.7014048370001547,2034
89,0.0,0.7092109810000693,1943
90,0.0,0.7170615270006238,1880
91,0.0,0.7250199230002181,1914
92,0.0,0.7328316459988855,1995
93,0.0,0.740652427999521,1991
94,0.0,0.7485412009991705,1908
95,0.0,0.7563102809999691,1920
96,0.0,0.7641150849995029,1798
97,0.0,0.7718755189998774,2007
98,0.0,0.7796624250004243,1832
99,0.0,0.78741336100029,2012
100,0.0,0.7952923720004037,1973
101,0.0,0.8030693559994688,1784
102,0.0,0.810828247000245,1754
103,0.0,0.8186929109997436,1857
104,0.0,0.826463977999083,1762
105,0.0,0.8342262739988655,1757
106,0.0,0.8420971679988725,1762
107,0.0,0.8498679709991848,1868
108,0.0,0.8576435479990323,1761
109,0.0,0.865430916999685,1855
110,0.0,0.8732741940002597,1772
111,0.0,0.8809178489991609,1789
112,0.0,0.8887856080000347,1780
113,0.0,0.8966937189998134,1692
114,0.0,0.9044737439999153,1553
115,0.0,0.9122433419997833,1644
116,0.0,0.9200490419989364,1685
117,0.0,0.9277574610005104,1650
118,0.0,0.93555049600036,1560
119,0.0,0.9432970479992946,1523
120,0.0,0.9510572819999652,1518
121,0.0,0.9587413139997807,1556
122,0.0,0.9666060700001253,1601
123,0.0,0.9743249909988663,1582
124,0.0,0.9821752730003936,1451
125,0.0,0.9898769159990479,1513
126,0.0,0.9977011310002126,1702
127,0.0,1.0054613880001853,1455
128,0.0,1.0132680699989578,1611
129,0.0,1.0210152750005363,1496
130,0.0,1.028835020999395,1565
131,0.0,1.0366263420000905,1488
